province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
Ontario,N8M,11110,0.095,1040,4,1,Rural,0,Not Low Income,5635,35,190,0.065,1345,1915,770,240,765
Ontario,P0S,9869,0.111,1075,4,1,Rural,0,Not Low Income,4745,40,1465,0.094,940,1480,2025,1295,555
Ontario,P0T,33027,0.133,3665,6,1,Rural,0,Not Low Income,16105,90,9580,0.11,3735,5445,3740,2300,1565
Ontario,P0X,8133,0.09300000000000001,415,5,1,Rural,0,Not Low Income,4020,10,4230,0.153,1075,1495,330,70,220
Ontario,P0Y,30,NA,NA,NA,NA,Not Rural,NA,(Missing),x,NA,NA,NA,NA,NA,NA,NA,NA
Ontario,P1L,16548,0.11900000000000001,1915,5,1,Rural,0,Not Low Income,8535,105,545,0.068,1760,2560,1175,165,1170
Ontario,P1P,10393,0.16899999999999998,1550,5,1,Rural,0,Not Low Income,5025,30,330,0.076,835,1350,395,90,670
Ontario,P2A,12990,0.142,1750,6,1,Rural,0,Not Low Income,6650,100,1005,0.083,1245,1900,620,140,950
Ontario,P2B,9747,0.214,1925,5,1,Rural,1,Low Income,5115,60,2075,0.111,980,1430,6735,5685,185
Ontario,P8N,10048,0.115,1115,6,1,Rural,0,Not Low Income,5155,25,1920,0.084,1220,1715,640,195,605
Manitoba,R0A,46213,0.141,6205,4,1,Rural,0,Not Low Income,22790,275,7230,0.049,6600,9410,8330,5000,6045
Manitoba,R0E,46836,0.11,4615,4,1,Rural,0,Not Low Income,22885,210,10440,0.07200000000000001,5310,7455,4005,1600,2830
Manitoba,R0G,44069,0.14400000000000002,5885,5,1,Rural,0,Not Low Income,21855,155,2785,0.042,5750,8240,5450,3425,4105
Manitoba,R0H,16938,0.157,1625,5,1,Rural,0,Not Low Income,8320,50,5880,0.071,2455,3455,855,335,540
Manitoba,R0J,27342,0.174,4070,6,1,Rural,0,Not Low Income,13580,90,3800,0.052000000000000005,2850,4170,850,315,2665
Manitoba,R0K,27772,0.134,3365,5,1,Rural,0,Not Low Income,13715,100,1710,0.05,3090,4865,1190,495,1415
Manitoba,R0L,26815,0.244,5465,6,1,Rural,1,Low Income,13575,30,9855,0.087,3060,4375,1035,425,790
Manitoba,R1A,21390,0.11599999999999999,2395,4,1,Rural,0,Not Low Income,10885,90,4830,0.065,2750,3875,1155,225,1240
Alberta,T4E,2252,0.069,155,4,1,Rural,0,Not Low Income,1130,10,145,0.078,285,425,120,25,165
Alberta,T4H,12316,0.092,1095,5,1,Rural,0,Not Low Income,6270,85,485,0.081,1500,2220,460,110,995
Alberta,T4J,11373,0.106,1160,5,1,Rural,0,Not Low Income,5780,120,835,0.086,1375,2090,235,85,1145
Alberta,T4L,17128,0.07400000000000001,1235,3,0,Not Rural,0,Not Low Income,8665,215,720,0.09300000000000001,2170,3180,835,185,1605
Alberta,T4G,12696,0.09300000000000001,1070,5,1,Rural,0,Not Low Income,6170,60,520,0.08800000000000001,1340,2025,375,100,810
Alberta,T2P,13056,0.191,2460,1,0,Not Rural,0,Not Low Income,6330,735,230,0.087,1265,3450,1075,260,5525
